date,twoPM,fourPM,ninePM
"'Dec 14, 2009'",'856','681','853'
"'Dec 15, 2009'",'975','297','066'
"'Dec 16, 2009'",'701','267','588'
"'Dec 17, 2009'",'218','321','192'
"'Dec 18, 2009'",'853','701','116'
"'Dec 19, 2009'",'657','035','718'
"'Dec 20, 2009'",'605','935','577'
"'Dec 21, 2009'",'328','059','713'
"'Dec 22, 2009'",'237','883','018'
"'Dec 23, 2009'",'010','252','341'
"'Dec 24, 2009'",'933','203','780'
"'Dec 25, 2009'",'N/D','N/D','N/D'
"'Dec 26, 2009'",'209','560','941'
"'Dec 27, 2009'",'764','241','695'
"'Dec 28, 2009'",'707','584','505'
"'Dec 29, 2009'",'269','495','810'
"'Dec 30, 2009'",'127','698','054'
"'Dec 31, 2009'",'185','224','481'
"'Jan 01, 2010'",'N/D','N/D','N/D'
"'Jan 02, 2010'",'911','859','492'
"'Jan 03, 2010'",'907','517','324'
"'Jan 04, 2010'",'246','873','271'
"'Jan 05, 2010'",'645','128','325'
"'Jan 06, 2010'",'861','336','723'
"'Jan 07, 2010'",'174','266','755'
"'Jan 08, 2010'",'521','882','948'
"'Jan 09, 2010'",'800','622','912'
"'Jan 10, 2010'",'300','100','982'
"'Jan 11, 2010'",'232','638','888'
"'Jan 12, 2010'",'683','135','224'
"'Jan 13, 2010'",'486','500','181'
"'Jan 14, 2010'",'326','965','982'
"'Jan 15, 2010'",'131','322','496'
"'Jan 16, 2010'",'932','737','777'
"'Jan 17, 2010'",'186','292','591'
"'Jan 18, 2010'",'964','467','531'
"'Jan 19, 2010'",'254','446','194'
"'Jan 20, 2010'",'307','584','719'
"'Jan 21, 2010'",'383','109','397'
"'Jan 22, 2010'",'974','040','892'
"'Jan 23, 2010'",'153','011','022'
"'Jan 24, 2010'",'904','052','848'
"'Jan 25, 2010'",'991','846','936'
"'Jan 26, 2010'",'595','914','078'
"'Jan 27, 2010'",'348','806','145'
"'Jan 28, 2010'",'619','840','925'
"'Jan 29, 2010'",'680','110','730'
"'Jan 30, 2010'",'213','119','515'
"'Jan 31, 2010'",'690','921','442'
"'Feb 01, 2010'",'917','263','650'
"'Feb 02, 2010'",'328','662','055'
